Repository at commit: 95a43e554866d4eb2db411c066ca0fb528eddbfd (qemu)
l,0,0,ML-KEM 1024 Key Generation
b,r,stack,0
b,d,stack,0,33816
l,0,0,ML-KEM 1024 Encapsulation
b,r,stack,0
b,d,stack,0,19864
l,0,0,ML-KEM 1024 Decapsulation
b,r,stack,0
b,d,stack,0,23160
l,0,0,ML-DSA 87 Key Generation
b,r,stack,0
b,d,stack,0,109400
l,0,0,ML-DSA 87 Signing
b,r,stack,0
b,d,stack,0,168184
l,0,0,ML-DSA 87 Verification
b,r,stack,0
b,d,stack,0,9232
